"filename", "language", "C#", "XML", "JSON", "YAML", "Markdown", "HTML", "C++", "CMake", "Swift", "Groovy", "Properties", "Dart", "Python", "comment", "blank", "total"
"d:\SIC-GP5\README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\SIC-GP5\SIC_Backend\Controllers\AuthController.cs", "C#", 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 159
"d:\SIC-GP5\SIC_Backend\Controllers\DevicesController.cs", "C#", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 82
"d:\SIC-GP5\SIC_Backend\Controllers\FilesController.cs", "C#", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 5, 38
"d:\SIC-GP5\SIC_Backend\Controllers\NotificationsController.cs", "C#", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 8, 50
"d:\SIC-GP5\SIC_Backend\Controllers\PlacesController.cs", "C#", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 68
"d:\SIC-GP5\SIC_Backend\Controllers\SectionsController.cs", "C#", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 73
"d:\SIC-GP5\SIC_Backend\Controllers\TestController.cs", "C#", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 60
"d:\SIC-GP5\SIC_Backend\Controllers\UsersController.cs", "C#", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 49
"d:\SIC-GP5\SIC_Backend\Data\ApplicationDbContext.cs", "C#", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"d:\SIC-GP5\SIC_Backend\Data\DTOs\DeviceDTO.cs", "C#", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"d:\SIC-GP5\SIC_Backend\Data\DTOs\PlaceDTO.cs", "C#", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"d:\SIC-GP5\SIC_Backend\Data\DTOs\SectionDTO.cs", "C#", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
